name,countries,categories,currency,denominations,discount,expiry,url
"Leroy Merlin France","FR","department-store","EUR","10; 25; 50; 100; 150",2,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/leroy-merlin-fr.jpg"
"Coin Italy","IT","department-store","EUR","10; 25; 50; 100",5,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/coin-it.jpg"
"Maisons du Monde Belgium","BE","home","EUR","20; 50; 100; 200; 500",7,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/maisons-du-monde-be.jpg"
"Alì&Alìper Italy","IT","food-and-drink; supermarket","EUR","10; 25; 50; 100",2.5,"12 mesi","https://assets.tillo.io/images/brands/vouchers/330x214/ali-and-aliper-it.jpg"
"Takeaway Luxembourg","LU","food-and-drink","EUR","10; 25; 50; 100",5.5,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/takeaway-lu.jpg"
"Breuninger Germany","DE","fashion; jewellery","EUR","10; 20; 50; 100; 250",5,"4 years","https://assets.tillo.io/images/brands/vouchers/330x214/breuninger-de.jpg"
"Tapi Carpets & Floors LTD UK","GB","home","GBP","10; 25; 50; 100; 250; 500; 1000",7,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/tapi-carpets-ltd-uk.jpg"
"Mango Netherlands","NL","fashion","EUR","25; 50",9,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/mango-nl.jpg"
"TheFork Italy","IT","food-and-drink","EUR","25; 50; 100",4.5,"18 Months","https://assets.tillo.io/images/brands/vouchers/330x214/thefork-it.jpg"
"Starbucks Germany","DE","food-and-drink; sports","EUR","10; 50",3,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/starbucks-de.jpg"
"roastmarket Germany","DE","food-and-drink","EUR","10; 20; 50; 100",5,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/roastmarket-de.jpg"
"lastminute.com Netherlands Holiday Gift Card - Flight + Hotel Packages","NL","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000",5.5,"12 Months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/lastminute-holiday-nl.jpg"
"Trony Italy","IT","electronics; home","EUR","10; 25; 50; 100; 150; 200; 250",1,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/trony-it.jpg"
"Naked Wines","GB","food-and-drink","GBP","25; 50; 100; 250; 500",13.5,"12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/naked-wines.jpg"
"Media Markt Belgium","BE","electronics; home","EUR","20; 50",0.5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/media-markt-be.jpg"
"WellCard Germany","DE","beauty; craft; sports; travel-and-leisure","EUR","10; 15; 25; 50; 100",9,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/wellcard-de.jpg"
"Holland & Barrett Netherlands","NL","beauty; other","EUR","10; 25; 50; 100",9,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/holland-barrett-nl.jpg"
"Spotify Germany","DE","music","EUR","11; 33; 66",7,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-germany.jpg"
"QC Terme Soggiorni Italy","IT","","EUR","248; 348; 398; 498",9,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/qc-terme-soggiorni-it.jpg"
"Monoprix France","FR","fashion","EUR","15; 25; 50; 100",2,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/monoprix-fr.jpg"
"Media Markt Netherlands","NL","electronics; home","EUR","10; 25; 50; 100",0.5,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/media-markt-nl.jpg"
"Bottega Verde Italy","IT","beauty","EUR","10; 25; 50",4,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/bottega-verde-it.jpg"
"PRENATAL Italy","IT","baby","EUR","10; 25; 50; 100; 200; 250",6,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/prenatal-it.jpg"
"Tezenis Belgium","BE","fashion","EUR","20; 30; 50; 100",5.5,"3 Years","https://assets.tillo.io/images/brands/vouchers/330x214/tezenis-be.jpg"
"Auchan France","FR","other","EUR","10; 25; 50; 100",2,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/auchan-fr.jpg"
"AirlineGift DE","DE","travel-and-leisure","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/airlinegift-de.jpg"
"lastminute.com Flight Gift Card Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000",2,"12 months from the activation date","https://assets.tillo.io/images/brands/vouchers/330x214/flight-gift-card-it.jpg"
"Sephora Italy","IT","beauty","EUR","25; 50; 100",5,"12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-it.jpg"
"Sennheiser Germany","DE","electronics","EUR","15; 25; 50; 100",14,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/sennheiser-de.jpg"
"Lidl Ireland","IE","supermarket","EUR","10; 15; 20; 25; 50; 100; 200",4,"5 years.","https://assets.tillo.io/images/brands/vouchers/330x214/lidl-ie.jpg"
"Terranova Italy","IT","fashion","EUR","10; 25; 50; 75; 100",4,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/terranova-it.jpg"
"Vintage Inns","GB","food-and-drink","GBP","10; 25; 50; 100; 250",12,"2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/vintage-inns.jpg"
"Tinder Plus & Gold Ireland","IE","other","EUR","12.85",15,"36 Months","https://assets.tillo.io/images/brands/vouchers/330x214/tinder-plus-ie.jpg"
"Boscolo Italy","IT","travel-and-leisure","EUR","119; 219; 289",9,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/boscolo-it.jpg"
"Winelivery Italy","IT","food-and-drink","EUR","25; 50; 100",1.5,"4 months","https://assets.tillo.io/images/brands/vouchers/330x214/winelivery-it.jpg"
"YouChoose All Access Digital","GB","other","GBP","10; 25; 50; 100; 250",6,"12 months from issuance","https://assets.tillo.io/images/brands/vouchers/330x214/youchoose-all-access-digital.jpg"
"Salute Semplice Italy","IT","other","EUR","10; 25; 50; 75; 100; 200",11,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/salute-semplice-it.jpg"
"The Restaurant Card","GB","food-and-drink","GBP","10; 25; 50; 100; 250",12,"24 months for last date of use","https://assets.tillo.io/images/brands/vouchers/330x214/the-restaurant-card.jpg"
"HotelsGift DE","DE","travel-and-leisure","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/hotelsgift-de.jpg"
"FlixBus Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100",6,"6 Months","https://assets.tillo.io/images/brands/vouchers/330x214/flixbus-it.jpg"
"Stardust Pass Italy","IT","tv-and-movies","EUR","25; 50; 100",2,"6 months","https://assets.tillo.io/images/brands/vouchers/330x214/stardust-pass-it.jpg"
"Dots.eco - Offset 10 kgs of CARBON EMISSIONS EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",31,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/offset-carbon-emissions-eur.jpg"
"UTravel Italy","IT","travel-and-leisure","EUR","50; 100; 200; 500",7,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/utravel-it.jpg"
"Mango Spain","ES","fashion","EUR","10; 25; 50; 100; 150",9,"Unlimited","https://assets.tillo.io/images/brands/vouchers/330x214/mango-es.jpg"
"Dots.eco - Protect 10 sqf of wildlife habitat UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",43,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/protect-wildlife-habitat-uk.jpg"
"IKEA Netherlands","NL","","EUR","50; 100; 250; 500",4,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/ikea-nl.jpg"
"FlixBus Germany","DE","travel-and-leisure","EUR","10; 15; 25; 40",6.5,"9 Months","https://assets.tillo.io/images/brands/vouchers/330x214/flixbus-de.jpg"
"Sephora Spain","ES","beauty","EUR","25; 50; 100",5,"12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-es.jpg"
"Rituals UK","GB","beauty; home","GBP","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-uk.jpg"
"Adler Germany","DE","fashion; jewellery","EUR","15; 25; 50",9,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/adler-de.jpg"
"lastminute.com Hotel Gift Card Spain","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000",5.5,"12 months from the activation date","https://assets.tillo.io/images/brands/vouchers/330x214/hotel-gift-card-es.jpg"
"Tezenis","IT","fashion","EUR","20; 30; 50; 100",4,"36 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/tezenis.jpg"
"Lastminute.com Ireland Holiday Gift Card - Flight + Hotel Packages","IE","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000",5.5,"60 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-holiday-gift-ie.jpg"
"Grand Vision Italy","IT","other","EUR","25; 50; 100; 150; 200",5,"1 year","https://assets.tillo.io/images/brands/vouchers/330x214/grand-vision-italy-it.jpg"
"Thalia Germany","DE","books; music","EUR","10; 15; 20; 25; 44; 50",8,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/thalia-de.jpg"
"Coccinelle Italy","IT","fashion","EUR","20; 50; 70; 100; 150; 200",4.5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/coccinelle-it.jpg"
"VISTASì Italy","IT","other","EUR","10; 25; 50; 100",1.5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/vistasi-it.jpg"
"The Dining Out Card","GB","food-and-drink","GBP","10; 25; 50; 100; 250; 500",12,"2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/the-dining-out-card.jpg"
