name,countries,categories,currency,denominations,discount,expiry,url
"Migross Italy","IT","supermarket","EUR","25; 50; 100","1.5","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/migross-it.jpg"
"Leroy Merlin France","FR","department-store","EUR","10; 25; 50; 100; 150","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/leroy-merlin-fr.jpg"
"Conrad Germany","DE","electronics","EUR","10; 15; 20; 25; 30; 35; 40; 44; 45; 50; 60; 70; 80; 90; 100; 150; 200; 250; 300; 350; 400; 450; 500","6","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/conrad-de.jpg"
"Takeaway.com","BE","food-and-drink","EUR","10; 25; 50; 100","5.5","12 months after purchase","https://assets.tillo.io/images/brands/vouchers/330x214/just-eat-be.jpg"
"Tinder Plus & Gold UK","GB","other","GBP","17; 27","15","36 Months","https://assets.tillo.io/images/brands/vouchers/330x214/tinder-plus-uk.jpg"
"Turtle Bay Restaurants","GB","food-and-drink","GBP","10; 25; 50; 100; 250","10","Expires 12 months from the date of order","https://assets.tillo.io/images/brands/vouchers/330x214/turtle-bay.jpg"
"Google Play","GB","gaming; music; tv-and-movies","GBP","10; 25; 50; 100; 250; 500","4","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/google-play.jpg"
"QC Terme Soggiorni Italy","IT","","EUR","248; 348; 398; 498","9","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/qc-terme-soggiorni-it.jpg"
"Takeaway Luxembourg","LU","food-and-drink","EUR","10; 25; 50; 100","5.5","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/takeaway-lu.jpg"
"Weekendje Weg BE & NL","NL","travel-and-leisure","EUR","50; 100","7","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/weekendje-weg-nl.jpg"
"World of Sweets Germany","DE","food-and-drink","EUR","15; 25; 50","13","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/world-of-sweets-de.jpg"
"Eventim Germany","DE","craft; travel-and-leisure","EUR","10; 15; 20; 25; 50; 100","2","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/eventim-de.jpg"
"adidas","GB","fashion; sports","GBP","10; 25; 50; 100; 250; 500","13","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/adidas.jpg"
"Auchan France","FR","other","EUR","10; 25; 50; 100","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/auchan-fr.jpg"
"Coin Italy","IT","department-store","EUR","10; 25; 50; 100","5","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/coin-it.jpg"
"lastminute.com UK Flight Only Gift Card","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000","2.35","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-flight-only.jpg"
"Roblox United Kingdom","GB","gaming","GBP","10; 25; 50; 100","7","No Expiry","https://assets.tillo.io/images/brands/vouchers/330x214/roblox-uk.jpg"
"YouChoose Experiences Digital","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250","6","12 months from issuance","https://assets.tillo.io/images/brands/vouchers/330x214/youchoose-experiences-digital.jpg"
"Romantik Hotels & Restaurants Germany","DE","beauty; craft; travel-and-leisure","EUR","50; 100; 250","5","30 months","https://assets.tillo.io/images/brands/vouchers/330x214/romantik-hotels-and-restaurants-de.jpg"
"Calzedonia Italy","IT","fashion","EUR","30; 50; 70; 100","5","36 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/calzedonia.jpg"
"Call a Bike Germany","DE","other","EUR","25; 50","7","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/call-a-bike-de.jpg"
"The National Garden Centre","GB","craft; home; other","GBP","10; 25; 50; 100; 250","9","Expires 30 months after the date of purchase","https://assets.tillo.io/images/brands/vouchers/330x214/the-national-garden-centre.jpg"
"PRENATAL Italy","IT","baby","EUR","10; 25; 50; 100; 200; 250","6","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/prenatal-it.jpg"
"Totally Well","GB","beauty; fashion","GBP","10; 25; 50; 100; 250; 500","4","This e-gift will be valid for 12 months from date of purchase. Any remaining balance will be cancelled on expiry of the validity period.","https://assets.tillo.io/images/brands/vouchers/330x214/totally-well.jpg"
"ETERNA Germany","DE","fashion; jewellery","EUR","10; 15; 20; 50; 100","14","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/eterna-de.jpg"
"Tezenis Belgium","BE","fashion","EUR","20; 30; 50; 100","5.5","3 Years","https://assets.tillo.io/images/brands/vouchers/330x214/tezenis-be.jpg"
"UTRY.ME Germany","DE","food-and-drink","EUR","30","22","18 months","https://assets.tillo.io/images/brands/vouchers/330x214/utry-de.jpg"
"koffer.de Germany","DE","craft; travel-and-leisure","EUR","50","7","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/koffer-de.jpg"
"Xbox Game Pass Core UK","GB","gaming","GBP","17.99; 29.99","15.7","No Expiry.","https://assets.tillo.io/images/brands/vouchers/330x214/xbox-game-pass-core-uk.jpg"
"Sephora Italy","IT","beauty","EUR","25; 50; 100","5","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-it.jpg"
"Grand Vision Italy","IT","other","EUR","25; 50; 100; 150; 200","5","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/grand-vision-italy-it.jpg"
"Lastminute.com France Holiday Gift Card - Flight + Hotel Packages","FR","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","5.5","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-holiday-gift-fr.jpg"
"Iceland","GB","supermarket","GBP","10; 25; 50; 100; 250; 500","4","24 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/iceland.jpg"
"Dots.eco - Protect 10 sqf of wildlife habitat EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","29.65","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/protect-wildlife-habitat-eur.jpg"
"TheFork Italy","IT","food-and-drink","EUR","25; 50; 100","4.5","18 Months","https://assets.tillo.io/images/brands/vouchers/330x214/thefork-it.jpg"
"Flixbus Spain","ES","travel-and-leisure","EUR","10; 25; 50; 100","6","9 Months","https://assets.tillo.io/images/brands/vouchers/330x214/flixbus-es.jpg"
"Mayersche Buchhandlung Germany","DE","books; music","EUR","10; 15; 20; 25; 44; 50","9","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/mayersche-buchhandlung-de.jpg"
"Just Eat","GB","food-and-drink","GBP","10; 25; 50; 100; 250; 500","5","12 months from date of purchase","https://assets.tillo.io/images/brands/vouchers/330x214/just-eat.jpg"
"Conad Italy","IT","supermarket","EUR","30; 50; 100; 150","0.5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/conad-it.jpg"
"E.M.P. Merchandising Germany","DE","fashion; jewellery","EUR","15; 25; 50","7","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/emp-merchandising-de.jpg"
"Swarovski","GB","home; jewellery","GBP","25; 50; 100; 250","18","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/swarovski.jpg"
"HEMA Netherlands","NL","home","EUR","10; 20; 50; 100","1.5","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/hema-nl.jpg"
"Dots.eco - Offset 10 kgs of CARBON EMISSIONS EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","29.65","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/offset-carbon-emissions-eur.jpg"
"lastminute.com Belgium Travel Gift Card","BE","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000","2.35","12 Months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/lastminutecom-travel-gift-card-belgium.jpg"
"Hoepli.it Italy","IT","books","EUR","15; 25; 35; 50","5","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/hoepli-it-it.jpg"
"Calzedonia Spain","ES","fashion","EUR","30; 50; 70; 100","5.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/calzedonia-es.jpg"
"lastminute.com Netherlands Travel Gift Card","NL","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000","2.35","12 Months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/lastminute-nl.jpg"
"M&S Ireland","GB; IE","department-store; fashion; food-and-drink; home; supermarket","EUR","10; 25; 50; 100; 250; 500; 1000","6.5","48 months after last use (balance check, redemption, refund etc)","https://assets.tillo.io/images/brands/vouchers/330x214/ms-ireland.jpg"
"Alì&Alìper Italy","IT","food-and-drink; supermarket","EUR","10; 25; 50; 100","2.5","12 mesi","https://assets.tillo.io/images/brands/vouchers/330x214/ali-and-aliper-it.jpg"
"lastminute.com Ireland Travel Gift Card","IE","","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000","2.35","5 Years","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-ie.jpg"
"Stardust Pass Italy","IT","tv-and-movies","EUR","25; 50; 100","2","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/stardust-pass-it.jpg"
"Tapi Carpets & Floors LTD UK","GB","home","GBP","10; 25; 50; 100; 250; 500; 1000","7","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/tapi-carpets-ltd-uk.jpg"
"Adler Germany","DE","fashion; jewellery","EUR","15; 25; 50","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/adler-de.jpg"
"Inspire Travel Germany","DE","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000","6","18 months from date of issue (Can be extended if requested via Inspire Customer Service)","https://assets.tillo.io/images/brands/vouchers/330x214/inspire-travel-de.jpg"
"AirlineGift DE","DE","travel-and-leisure","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","7.5","3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/airlinegift-de.jpg"
"Sony PSN Italy","IT","gaming","EUR","10; 20; 50; 60; 80; 100; 150; 200; 250","7","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sony-psn-it.jpg"
"Calmbase Germany","DE","sports","EUR","10; 15; 25; 50; 100","14","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/calmbase-de.jpg"
"Leisure Choice Gift Card","GB","beauty; books; craft; department-store; fashion; food-and-drink; gaming; home; jewellery; other; sports; supermarket; travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000","4","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/virgin-incentives-gift-card-uk.jpg"
"Apteekkituotteet.fi","FI","beauty","EUR","10; 20; 30; 40; 50; 60; 70; 80; 90; 100","4","No Expiry","https://assets.tillo.io/images/brands/vouchers/330x214/apteekkituotteet-fi.jpg"
"walzvital Germany","DE","beauty","EUR","25; 50","7","5 years","https://assets.tillo.io/images/brands/vouchers/330x214/walzvital-de.jpg"
"Intimissimi Austria","AT","fashion","EUR","30; 50; 70; 100","5.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/intimissimi-at.jpg"
"Sephora Portugal","PT","beauty","EUR","25; 50; 100","5","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-pt.jpg"
"eSimChoice UK","GB","electronics; travel-and-leisure","GBP","15; 20; 25; 30; 40; 50; 75; 100","10","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/esimchoice-uk.jpg"
"Kaufland Germany","DE","other","EUR","10; 25; 50","","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/kaufland-de.jpg"
"Sizzling Pubs","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/sizzling-pubs.jpg"
"Lastminute.com Spain Holiday Gift Card - Flight + Hotel Packages","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","5.5","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-holiday-gift-es.jpg"
"Sennheiser Germany","DE","electronics","EUR","15; 25; 50; 100","14","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/sennheiser-de.jpg"
"Holland & Barrett Belgium","BE","beauty; other","EUR","10; 25; 50; 100","9","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/holland-barrett-be.jpg"
"Monoprix France","FR","fashion","EUR","15; 25; 50; 100","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/monoprix-fr.jpg"
"bol Belgium","BE","department-store","EUR","10; 25; 50; 100","3","36 months","https://assets.tillo.io/images/brands/vouchers/330x214/bol-com-be.jpg"
"Virgin Experience Days","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500; 1000; 2000","20","12 months after load","https://assets.tillo.io/images/brands/vouchers/330x214/virgin-experience-days.jpg"
