name,countries,categories,currency,denominations,discount,expiry,url
"Theatre Tokens","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250; 500","10","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/theatre-tokens.jpg"
"Tapi Carpets & Floors LTD UK","GB","home","GBP","10; 25; 50; 100; 250; 500; 1000","7","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/tapi-carpets-ltd-uk.jpg"
"MANGO Portugal","PT","fashion","EUR","25; 50","9","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/mango-pt.jpg"
"Falconeri Spain","ES","fashion","EUR","30; 75; 100; 150; 200; 250","5.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/falconeri-es.jpg"
"Toby Carvery","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/toby-carvery.jpg"
"Tesco","GB","supermarket","GBP","10; 25; 50; 100; 250; 500","4","5 years from load or last use","https://assets.tillo.io/images/brands/vouchers/330x214/tesco.jpg"
"Mango Spain","ES","fashion","EUR","10; 25; 50; 100; 150","9","Unlimited","https://assets.tillo.io/images/brands/vouchers/330x214/mango-es.jpg"
"Spotify Austria","AT","music","EUR","11; 33; 66","5","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-austria.jpg"
"Maisons du Monde Belgium","BE","home","EUR","20; 50; 100; 200; 500","7","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/maisons-du-monde-be.jpg"
"DAZN STANDARD Italy","IT","sports","EUR","44.99; 119.99","2.5","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/dazn-standard-it.jpg"
"Sephora Spain","ES","beauty","EUR","25; 50; 100","5","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-es.jpg"
"Rumbo Spain Travel Gift Card","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250","7.5","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/rumbo-es.jpg"
"CamperBoys Germany","DE","craft; sports; travel-and-leisure","EUR","35; 50; 100; 150","8","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/camperboys-de.jpg"
"The Entertainer","GB","toys","GBP","10; 25; 50; 100; 250","5","24 months from date of activation","https://assets.tillo.io/images/brands/vouchers/330x214/the-entertainer.jpg"
"Google Play","GB","gaming; music; tv-and-movies","GBP","10; 25; 50; 100; 250; 500","4","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/google-play.jpg"
"Spotify Spain","ES","music","EUR","11; 33; 66","5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-es.jpg"
"Decathlon France","FR","fashion; sports","EUR","10; 25","1","No Expiry","https://assets.tillo.io/images/brands/vouchers/330x214/decathlon-fr.jpg"
"Sephora Italy","IT","beauty","EUR","25; 50; 100","5","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/sephora-it.jpg"
"Höffner Germany","DE","home","EUR","10; 20; 44; 50; 100","5","5 years","https://assets.tillo.io/images/brands/vouchers/330x214/hoffner-de.jpg"
"lastminute.com Netherlands Travel Gift Card","NL","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000","2.35","12 Months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/lastminute-nl.jpg"
"Dots.eco - Save a sea turtle hatchling EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","29.65","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/save-a-sea-turtle-hatchling-eur.jpg"
"Monoprix France","FR","fashion","EUR","15; 25; 50; 100","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/monoprix-fr.jpg"
"PittaRosso Italy","IT","fashion","EUR","25; 50; 100","5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/pittarosso-it.jpg"
"The Body Shop","GB","beauty","GBP","10; 25; 50; 100","10","24 months from date of last purchase","https://assets.tillo.io/images/brands/vouchers/330x214/body-shop.jpg"
"Vintage Inns","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/vintage-inns.jpg"
"roastmarket Germany","DE","food-and-drink","EUR","10; 20; 50; 100","5","30 months","https://assets.tillo.io/images/brands/vouchers/330x214/roastmarket-de.jpg"
"M&S Ireland","GB; IE","department-store; fashion; food-and-drink; home; supermarket","EUR","10; 25; 50; 100; 250; 500; 1000","6.5","48 months after last use (balance check, redemption, refund etc)","https://assets.tillo.io/images/brands/vouchers/330x214/ms-ireland.jpg"
"Laithwaite's Wine","GB","food-and-drink","GBP","10; 25; 50; 100; 250; 500; 1000","12","24 months from issue","https://assets.tillo.io/images/brands/vouchers/330x214/laithwaites.jpg"
"Takeaway Luxembourg","LU","food-and-drink","EUR","10; 25; 50; 100","5.5","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/takeaway-lu.jpg"
"emilio adani Germany","DE","fashion; jewellery","EUR","10; 20; 50","13","33 months","https://assets.tillo.io/images/brands/vouchers/330x214/emilio-adani-de.jpg"
"Megamark Italy","IT","supermarket","EUR","25; 50; 100; 200","1","Minimum 1 month","https://assets.tillo.io/images/brands/vouchers/330x214/megamark-it.jpg"
"lastminute.com Flight Gift Card Spain","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","2","12 months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/flight-gift-card-es.jpg"
"Browns","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/browns.jpg"
"Carrefour Italy","IT","supermarket","EUR","10; 25; 50; 100","1.25","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/carrefour-it.jpg"
"Ecobnb Italy","IT","travel-and-leisure","EUR","25; 50; 100","5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/ecobnb-it.jpg"
"Atento Germany","DE","beauty; fashion; food-and-drink; jewellery","EUR","10; 25; 50","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/atento-de.jpg"
"AirlineGift DE","DE","travel-and-leisure","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","7.5","3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/airlinegift-de.jpg"
"Dots.eco - Buy 10 sqf of Land for Nature Reserve UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","38","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/buy-land-for-nature-reserve-uk.jpg"
"Greggs","GB","food-and-drink","GBP","10; 25; 50; 100; 250","9","24 Months from last use","https://assets.tillo.io/images/brands/vouchers/330x214/greggs.jpg"
"Inspire Travel Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000","6","18 Months","https://assets.tillo.io/images/brands/vouchers/330x214/inspire-travel-it.jpg"
"Spotify France","FR","music","EUR","11; 33; 66","6","12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-france.jpg"
"PRENATAL Italy","IT","baby","EUR","10; 25; 50; 100; 200; 250","6","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/prenatal-it.jpg"
"Dunelm UK","GB","baby; home","GBP","10; 25; 50; 100; 250; 500","4.5","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/dunelm-uk.jpg"
"Romantik Hotels & Restaurants Germany","DE","beauty; craft; travel-and-leisure","EUR","50; 100; 250","5","30 months","https://assets.tillo.io/images/brands/vouchers/330x214/romantik-hotels-and-restaurants-de.jpg"
"La Feltrinelli Italy","IT","books; electronics; toys","EUR","10; 25; 50; 100","6","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/la-feltrinelli-it.jpg"
"lastminute.com Germany Travel Gift Card","DE","","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000","2.35","3 years from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/last-minute-de.jpg"
"Asterley Bros","GB","food-and-drink","GBP","10; 20; 50","14","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/asterley-bros.jpg"
"Sixt Germany","DE","cars","EUR","15; 25; 50; 100","9","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/sixt-de.jpg"
"All Bar One","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/all-bar-one.jpg"
"ODEON","GB","tv-and-movies","GBP","10; 25; 50; 100","4","If this card is not used for a period of 2 years, any remaining balance of value on this card will expire. A balance enquiry does not constitute use.","https://assets.tillo.io/images/brands/vouchers/330x214/odeon.jpg"
"Love2Shop Rewards","GB","other","GBP","10; 25; 50; 100; 250; 500","5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/love2shop-rewards.jpg"
"lastminute.com Flight Gift Card Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","2","12 months from the activation date","https://assets.tillo.io/images/brands/vouchers/330x214/flight-gift-card-it.jpg"
"Tesco Lunch Meal Deal","GB","supermarket","GBP","","4","5 years from load or last use","https://assets.tillo.io/images/brands/vouchers/330x214/tesco-lunch-meal-deal.jpg"
"Blacksocks Germany","DE","fashion; jewellery","EUR","10; 15; 20; 50","14","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/blacksocks-de.jpg"
"Maisons du Monde Italy","IT","home","EUR","20; 50; 100; 200; 500","7","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/maisons-du-monde-it.jpg"
"Falconeri Italy","IT","fashion","EUR","30; 75; 100; 150; 200; 250","4","36 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/falconeri.jpg"
"Leroy Merlin France","FR","department-store","EUR","10; 25; 50; 100; 150","2","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/leroy-merlin-fr.jpg"
